1,Buy groceries,"Milk, eggs, vegetables",high,f,2025-07-19
2,Finish report,Annual performance report,medium,t,2025-07-18
3,Call plumber,Fix kitchen sink leak,low,f,2025-07-17
4,Workout,Leg day at the gym,medium,t,2025-07-19
5,Plan weekend trip,Decide location and book hotel,high,f,2025-07-16
6,Clean workspace,Organize desk and files,low,t,2025-07-15
7,Doctor appointment,Routine health check-up,high,t,2025-07-19
8,Renew license,Driving license renewal before expiry,medium,f,2025-07-18
9,Submit taxes,Quarterly income tax submission,high,f,2025-07-19
10,Backup files,Save all important docs to cloud,low,f,2025-07-14
